schemaTuple,visited,timesVisited,id
appdatarecentlyviewed,True,2,6dd0012a-9e11-4b8e-bb53-1a72fefd36de
buildinfohash,True,2,65116191-5b47-42cd-b975-6aae2cfaa548
buildinfomessage,True,1,7b934eaf-c4ea-480f-bf59-f94c1097d118
buildinfodate,True,2,65116191-5b47-42cd-b975-6aae2cfaa548
applicationappearanceexplore,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
applicationappearancesearch,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
resultsviewappearancelist,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
resultsviewappearancegrid,True,2,80d5f736-97ba-43c2-a9e6-8a00387caedd
resultsviewappearancetable,True,1,746ea727-f18f-4b83-b4cd-ea255e4cf6aa
explorepageappearanceresults,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
listgridviewappearanceenabled,True,5,d428a5c5-d518-481f-b2cf-88691d78acae
listgridviewappearanceshowstatus,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
listgridviewappearancecoverimagesize,False,0,
resultsappearanceview,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
resultsappearancepagination,False,0,
schemafacetappearanceschemaname,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
schemafacetappearancesortby,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
schemafacetappearancefacets,False,0,
searchfacetfieldname,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
searchfacetdisplaytype,False,0,
searchfacetsappearancecommonfacets,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
searchfacetsappearanceschemas,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
searchpageappearanceresults,False,0,
searchpageappearancefacets,True,3,d428a5c5-d518-481f-b2cf-88691d78acae
tableviewappearanceenabled,False,0,
tableviewappearanceshowthumbnail,True,1,746ea727-f18f-4b83-b4cd-ea255e4cf6aa
tableviewappearanceshowstatus,True,1,746ea727-f18f-4b83-b4cd-ea255e4cf6aa
authoritygroup_id,True,4,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authoritygroupname,True,4,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authoritygroupupdatedat,True,3,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authoritygroupdisabled,False,0,
authoritygrouphttpheader,True,3,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authoritygroupip,True,2,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authoritygroupusergroup,True,2,f1a73cd3-b39d-4dbc-bc5a-8f32eba2fb3c
authorizationrule_id,False,0,
authorizationruleoperationnames,False,0,
authorizationruleusers,False,0,
authorizationruleauthoritygroups,False,0,
authorizationruleresources,False,0,
authorizationruleresourceancestors,True,11,c42eed60-5af4-493d-b8cc-6a42d53a94f6
authorizationruleresourceschema,False,0,
blobinfomaxsize,False,0,
blobinfoblobtype,False,0,
blobinfomimetypes,False,0,
blobinfoviewmode,False,0,
blobinfomaxheight,False,0,
blob_id,False,0,
blobfilename,False,0,
blobfilesize,False,0,
blobmimetype,False,0,
blobblobtype,False,0,
blobmimetypeblobtype,True,3,5f60bd50-9aed-4683-9368-ffe0e139b675
blobmimetypemimetypes,True,2,5f60bd50-9aed-4683-9368-ffe0e139b675
uploadblobinfo_id,True,5,33949b57-4f6e-41f2-a568-ef435179d130
uploadblobinfofilename,True,3,fbd5c1dd-a02d-4333-b471-721ae63fb805
uploadblobinfoblobtype,True,3,fbd5c1dd-a02d-4333-b471-721ae63fb805
uploadblobinfourl,True,2,fbd5c1dd-a02d-4333-b471-721ae63fb805
uploadblobinfoformfields,True,1,fbd5c1dd-a02d-4333-b471-721ae63fb805
uploadingblob_id,False,0,
uploadingblobfilename,False,0,
uploadingblobmimetype,False,0,
uploadingblobblobtype,False,0,
brandingpage,True,6,a61aba1c-04b0-4772-9f75-5676e3fbcb80
brandingsection,True,4,a61aba1c-04b0-4772-9f75-5676e3fbcb80
brandingtheme,True,6,a61aba1c-04b0-4772-9f75-5676e3fbcb80
brandingbrandingconfigs,True,2,1a1ef940-7f13-42e3-99f9-5a7447fc7a35
iteratingiteminfoitems,False,0,
iteratingiteminfopageinfo,False,0,
durationmilliseconds,False,0,
durationseconds,False,0,
durationminutes,False,0,
durationhours,False,0,
durationdays,False,0,
durationweeks,False,0,
durationmonths,False,0,
durationyears,False,0,
iconpacksearchinfoicons,False,0,
iconpacksearchinfopagination,False,0,
internationalizationconfig_id,True,12,bda840bd-f021-4901-af30-492d2dcbd12d
internationalizationconfigisenabled,True,8,2d19b97e-898d-4003-9fb3-1405f82ecb6f
internationalizationconfigisdefault,True,5,2d19b97e-898d-4003-9fb3-1405f82ecb6f
internationalizationconfigisrtl,True,2,86c65045-7b62-47c7-ba99-f9ee5753e66b
internationalizationconfigdictionaryname,True,6,2d19b97e-898d-4003-9fb3-1405f82ecb6f
internationalizationconfigdisplayname,True,8,c42eed60-5af4-493d-b8cc-6a42d53a94f6
internationalizationconfigbasedictionaryname,True,5,2d19b97e-898d-4003-9fb3-1405f82ecb6f
internationalizationconfigtranslations,True,3,5ed01cd6-6baf-4413-8835-2910035ee267
internationalizationconfigdateformat,True,2,86c65045-7b62-47c7-ba99-f9ee5753e66b
itemtitle,True,35,265e4278-332b-4afc-a7f0-99e1fa4980f7
itemtw_title,False,0,
itemtw_locale,False,0,
itemtw_tags,False,0,
itemtw_license,False,0,
itemtw_thumbnails,False,0,
itemparentid,True,15,265e4278-332b-4afc-a7f0-99e1fa4980f7
itemtw_parentid,False,0,
itemexternalid,True,12,265e4278-332b-4afc-a7f0-99e1fa4980f7
itemtw_externalid,False,0,
itemsubjects,True,13,265e4278-332b-4afc-a7f0-99e1fa4980f7
itemtw_subjects,False,0,
item_id,True,22,265e4278-332b-4afc-a7f0-99e1fa4980f7
itemancestors,True,6,6dd0012a-9e11-4b8e-bb53-1a72fefd36de
itemtw_ancestors,False,0,
